@relation student-performance-portuguese-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Remove-R3

@attribute school { GP, MS}
@attribute sex { F, M}
@attribute age { 15, 16, 17, 18, 19, 20, 21, 22}
@attribute address { R, U}
@attribute famsize { GT3, LE3}
@attribute Pstatus { A, T}
@attribute Medu { 0, 1, 2, 3, 4}
@attribute Fedu { 0, 1, 2, 3, 4}
@attribute Mjob { at_home, health, other, services, teacher}
@attribute Fjob { at_home, health, other, services, teacher}
@attribute reason { course, home, other, reputation}
@attribute guardian { father, mother, other}
@attribute traveltime { 1, 2, 3, 4}
@attribute studytime { 1, 2, 3, 4}
@attribute failures { 0, 1, 2, 3}
@attribute schoolsup { no, yes}
@attribute famsup { no, yes}
@attribute paid { no, yes}
@attribute activities { no, yes}
@attribute nursery { no, yes}
@attribute higher { no, yes}
@attribute internet { no, yes}
@attribute romantic { no, yes}
@attribute famrel { 1, 2, 3, 4, 5}
@attribute freetime { 1, 2, 3, 4, 5}
@attribute goout { 1, 2, 3, 4, 5}
@attribute Dalc { 1, 2, 3, 4, 5}
@attribute Walc { 1, 2, 3, 4, 5}
@attribute health { 1, 2, 3, 4, 5}
@attribute absences numeric
@attribute G3 { 0, 1}

@data
GP,F,18,U,LE3,T,4,4,teacher,at_home,course,mother,2,2,0,no,no,no,yes,yes,yes,yes,no,4,4,5,3,1,4,1.0,1
GP,F,18,U,GT3,T,2,2,other,other,reputation,father,1,1,0,no,yes,no,no,no,yes,yes,yes,4,2,3,4,1,5,2.0,1
GP,M,16,R,LE3,T,2,1,other,other,course,mother,1,2,0,no,no,no,no,yes,yes,yes,no,5,3,5,2,3,3,4.0,1
GP,M,15,U,LE3,A,2,2,at_home,other,course,other,2,2,0,no,yes,no,yes,yes,yes,yes,no,4,2,5,3,2,5,1.0,1
GP,F,16,U,GT3,T,2,1,services,services,reputation,mother,2,1,0,no,yes,no,yes,yes,yes,yes,no,3,4,4,1,1,5,1.0,1
GP,F,15,U,GT3,T,4,4,teacher,teacher,home,mother,1,3,0,no,yes,no,no,yes,yes,no,no,5,4,4,1,5,1,1.0,1
GP,F,15,R,GT3,T,3,1,at_home,other,home,father,1,2,0,yes,yes,no,no,yes,yes,yes,no,4,4,3,1,4,5,2.0,1
GP,F,18,U,LE3,T,1,2,other,other,home,mother,1,3,0,no,yes,no,no,no,yes,yes,yes,4,4,4,2,2,5,3.0,1
GP,M,17,U,LE3,A,3,3,services,other,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,2,3,5,2,3,4,16.0,1
GP,F,17,U,GT3,T,3,2,services,other,reputation,mother,1,1,0,yes,yes,no,yes,yes,yes,yes,no,5,2,3,1,3,5,3.0,1
